Stock URL,Stock Name,Stock Index,Isin Code,Market/Segment,Sector,Ftse Indices
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001469383.html?lang=en,Mondadori Editore,MN,IT0001469383,STAR,Media,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Consumer Services, FTSE Italia All-Share Media"
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0001447785.html?lang=en,Mondo Tv,MTV,IT0001447785,STAR,Media,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Consumer Services, FTSE Italia All-Share Media"
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/FR0011443266.html?lang=en,Mondo Tv France,MTF,FR0011443266,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/CH0274177580.html?lang=en,Mondo Tv Suisse,MSU,CH0274177580,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005338139.html?lang=en,Monnalisa,MNL,IT0005338139,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/miv/scheda/LU1738384764.html?lang=en,Nb Aurora,NBA,LU1738384764,MIV/PROFESSIONAL SEGMENT,,
https://www.borsaitaliana.it/borsa/azioni/miv/scheda/LU2158749312.html?lang=en,Nb Aurora Aa,NBAAZ,LU2158749312,MIV/PROFESSIONAL SEGMENT,,
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005275778.html?lang=en,Neodecortech,NDT,IT0005275778,MTA,Basic Resources,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Basic Materials, FTSE Italia All-Share Basic Resources"
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0005351496.html?lang=en,Neosperience,NSP,IT0005351496,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/IT0003324024.html?lang=en,Net Insurance,NET,IT0003324024,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/global-equity-market/scheda/US64110L1061.html?lang=en,Netflix,NFLX,US64110L1061,GLOBAL EQUITY MARKET,,
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0004819030.html?lang=en,Netweek,NTW,IT0004819030,MTA,Retail,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia Small Cap, FTSE Italia All-Share Consumer Services, FTSE Italia All-Share Retail"
https://www.borsaitaliana.it/borsa/azioni/aim-italia/scheda/GRS802003004.html?lang=en,Neurosoft,NRST,GRS802003004,AIM ITALIA,,FTSE AIM Italia
https://www.borsaitaliana.it/borsa/azioni/scheda/IT0005385213.html?lang=en,Newlat Food,NWL,IT0005385213,STAR,Food & Beverage,"FTSE All-Share Capped, FTSE Italia All-Share, FTSE Italia STAR, FTSE Italia Small Cap, FTSE Italia All-Share Consumer Goods, FTSE Italia All-Share Food and Beverage"
